"gamma","epsilon","c","test_r2"
"16.391207","0.17571951","40.452183","0.5548645916432509"
"19.156801","0.04660747","35.530144","0.5516331267491021"
"20.31778","0.32646403","58.476078","0.5512072509309834"
"10.907686","0.012848401","65.43832","0.5506121387065666"
"15.920484","0.051699955","35.105198","0.5503790003136664"
"10.677785","0.1522286","56.833393","0.547963211291437"
"25.749844","0.26825008","40.578754","0.5460638179488204"
"8.532131","0.80061805","61.721012","0.5459636077402674"
"7.232814","0.7640564","84.60531","0.5452226768756483"
"10.954806","0.29535356","42.949627","0.544651669723738"
"6.739873","0.034763966","87.52519","0.5443955135002163"
"17.70845","0.36603123","84.46424","0.5443584458999273"
"15.277844","0.12130012","32.282833","0.5441998313758838"
"16.495104","0.6912418","93.807686","0.5426488348476544"
"7.004174","0.6374056","71.72419","0.5423974160574714"
"16.861664","0.32604864","93.99415","0.5414739663002575"
"17.576897","0.91091186","29.325745","0.5413874119457474"
"8.037552","0.012962358","49.707752","0.5413424064191656"
"7.183521","0.013131481","58.205864","0.5403045432325236"
"13.13368","0.01262561","32.919235","0.539869616287397"
"28.03118","0.9729255","59.59767","0.537458924266693"
"28.013403","0.028096493","43.6091","0.5372711983816116"
"6.196576","0.58474445","58.727608","0.5372461124652479"
"5.3865094","0.9898628","76.23619","0.5369683638624256"
"5.3085136","0.091890335","71.41047","0.5358081997080795"
"9.256923","0.2768313","36.096466","0.5351972324526707"
"16.985266","0.45599318","25.748878","0.5350652113452719"
"4.465747","0.012054622","99.25058","0.5349858336737441"
"16.625704","0.29382998","26.12855","0.5347695697797139"
"29.810438","0.047381833","45.433567","0.5335060697974162"
"7.2350287","0.043950193","42.688026","0.5333072639655633"
"21.166985","0.95807993","23.905508","0.5324852434654253"
"6.9568453","0.012790223","40.977634","0.5317597069114549"
"7.078451","0.7651433","37.328556","0.5307894970228975"
"9.600354","0.96613795","27.61136","0.5304300054305928"
"5.590698","0.06674851","50.80835","0.5301770090589878"
"5.57861","0.2203003","51.237633","0.5299599668038195"
"35.59495","0.06757978","47.271404","0.5293787274957086"
"27.838697","0.71298957","77.68273","0.5277162047099766"
"8.359579","0.87714607","26.984129","0.5267977477514068"
"10.069479","0.16635084","23.921412","0.5265647577558148"
"28.73531","0.07484027","21.41403","0.5257090630551373"
"10.433203","0.025788257","21.952715","0.5254337450558467"
"7.688809","0.2093469","29.85723","0.5250619266243264"
"26.84731","0.15699749","21.016499","0.5241694242696519"
"5.4414496","0.07659196","39.57572","0.5241376842011227"
"3.704587","0.2917583","78.35869","0.523411587078854"
"40.920475","0.0125879655","56.336433","0.5213785330900411"
"2.5405037","0.030664321","84.16569","0.5208816434776717"
"2.453721","0.024148056","70.19938","0.5202132346500725"
"38.00111","0.31985953","28.157856","0.5201658869532645"
"20.260147","0.8626243","16.684404","0.520008057745213"
"21.52311","0.7877245","17.008863","0.5193910858961093"
"36.61135","0.1498512","25.223043","0.5192606582718418"
"31.371006","0.2713594","85.4398","0.517813426419957"
"34.372406","0.8364782","78.48275","0.5173060842685845"
"2.109104","0.03867697","69.820076","0.516631456931995"
"5.6870723","0.046242647","29.391022","0.5151067121619317"
"40.851845","0.26344472","23.650635","0.5147898852308359"
"4.61741","0.07952264","34.431656","0.514033161848179"
"11.310321","0.016819889","16.301842","0.5131439578245695"
"36.509865","0.012452098","17.178452","0.5126044662885008"
"51.945625","0.05116273","47.705532","0.5118592418530512"
"30.78467","0.6054452","98.174065","0.5103184426124437"
"27.995659","0.53653383","14.116029","0.5077964761467951"
"50.79163","0.021593915","61.817387","0.5072162966911857"
"40.803177","0.18468316","77.80487","0.5057547374731368"
"42.354076","0.029778516","16.496689","0.5044042630421784"
"4.4173417","0.030528203","28.4312","0.5036311176054935"
"54.84505","0.02402815","63.626717","0.5031861367670208"
"52.7436","0.06342382","31.27778","0.5019568472160965"
"9.688899","0.031568684","15.291639","0.5012383025214726"
"1.8102777","0.82066965","60.049942","0.4988231821245266"
"1.0856253","0.08440353","96.17914","0.4978630430304948"
"26.135014","0.096583806","10.256226","0.4933817595396912"
"19.60258","0.48044968","10.51709","0.4927741717622819"
"3.1737463","0.059784524","33.855495","0.4893094454922202"
"29.051167","0.044944175","9.7409525","0.4870062030868333"
"6.1296163","0.47421166","18.68243","0.48667532148308545"
"67.53605","0.5063464","31.452377","0.48659736807815146"
"2.2319248","0.03164525","45.409702","0.4861598589815349"
"4.9465938","0.105061315","22.484306","0.4861270433808862"
"3.4821968","0.08433596","30.459286","0.48571816553161595"
"9.209581","0.049116768","13.902117","0.48565007659926107"
"36.70361","0.5330664","10.851549","0.48446718029551117"
"2.6853733","0.1468938","36.29276","0.482002693210961"
"4.253072","0.046886127","23.298538","0.47900789928981646"
"76.48023","0.19160286","94.94012","0.4786481969175119"
"16.15162","0.10167472","10.014165","0.4784430971348337"
"1.0243647","0.017128918","86.75423","0.4779470361613327"
"2.8690794","0.020672318","31.97588","0.47753560888167257"
"1.7682244","0.10589745","49.72462","0.47687504237537903"
"4.6247225","0.067973405","20.657642","0.4760613868419685"
"3.6870053","0.9063162","23.936462","0.4733283959891317"
"9.318867","0.13074292","11.605125","0.4707670484798707"
"2.1130776","0.0743615","38.8912","0.47058908009476597"
"1.738966","0.2775129","46.159466","0.47010681512965313"
"93.64293","0.36461565","70.0839","0.4695195007010048"
"16.897903","0.19507629","8.725154","0.4682386907404942"
"2.6428545","0.91574275","29.214516","0.46537767762577076"
"3.8896232","0.013301023","21.35865","0.4640133878904229"
"62.676815","0.010209972","15.951736","0.4628828455273627"
"14.656568","0.8340911","8.609441","0.4625638096354553"
"0.98813367","0.56269354","66.26988","0.46170322828635757"
"1.5687611","0.2071165","40.41229","0.45862581679820646"
"2.8664627","0.4092546","24.105652","0.45850385623275003"
"21.884035","0.8300946","7.4761763","0.4566480357659315"
"6.5031114","0.052359153","11.647691","0.4547229029454545"
"2.6518006","0.38112766","24.045485","0.45350691615694927"
"3.376172","0.056748915","19.117746","0.453118881685439"
"0.5401845","0.11694749","99.6393","0.4516885737027928"
"93.87438","0.027431171","35.847748","0.44901995213900325"
"1.2283759","0.0838182","44.994568","0.4480480739424406"
"10.676651","0.06530338","8.254922","0.44788432018075797"
"29.851332","0.69243014","6.8989487","0.44735166863878195"
"5.506314","0.021891303","11.905062","0.4439647092633884"
"18.599627","0.63550043","6.6194468","0.4439170548099396"
"2.6456969","0.5517786","21.635075","0.4439111782907956"
"5.4022074","0.021205721","11.644613","0.43920017147548907"
"1.0720142","0.4212737","47.524876","0.43790062386323303"
"35.134415","0.029853964","6.768587","0.4377950354040169"
"6.543795","0.08846397","10.066238","0.4376515177470459"
"9.760626","0.10170513","7.6363974","0.43738202271759674"
"89.803825","0.013474349","22.833725","0.432004656552186"
"17.51553","0.017509744","5.579007","0.4316544387557547"
"72.43722","0.43398538","14.444183","0.42881111509791336"
"8.544722","0.016385004","7.2047577","0.4217959636798775"
"10.5684185","0.05467522","6.462609","0.42178357400237787"
"7.971154","0.015730148","7.4332123","0.4180213947737381"
"81.73313","0.011489174","16.187435","0.4176566773423558"
"0.5417234","0.015671657","77.992836","0.4083089330784966"
"34.155514","0.13126607","5.2277994","0.40731359028928604"
"0.42711034","0.322351","93.39078","0.4043275807636937"
"1.0102402","0.022297684","40.203407","0.4017426405434772"
"9.1582575","0.64490324","6.1965437","0.40023655310826556"
"69.93929","0.096390344","10.777503","0.39845268854342775"
"3.181564","0.1614149","13.529842","0.3950552041079429"
"4.965258","0.029398883","9.3811245","0.3938865882824478"
"32.981922","0.09695342","4.8060155","0.39377833157213205"
"89.66358","0.19916248","15.327253","0.3859486548359836"
"1.1079168","0.010629737","31.741745","0.385586876986057"
"0.49613345","0.15072933","69.00485","0.3854287070882093"
"0.35335138","0.016733477","95.44255","0.3841502866701966"
"3.3296447","0.09876327","11.704401","0.38324049525778936"
"12.610952","0.12470878","4.754289","0.382444163777392"
"1.2057333","0.61090124","28.19732","0.37997916163211665"
"1.1570891","0.032777764","28.739822","0.37791984585531113"
"2.250214","0.72674614","15.814653","0.3777633110060443"
"2.66107","0.023724232","13.507429","0.3777183882208547"
"71.81027","0.02418199","9.686375","0.37770153302087695"
"0.4815813","0.051351253","66.172806","0.37709424986528317"
"38.862663","0.22302774","4.560448","0.3767981363994548"
"16.464785","0.029249124","4.0475483","0.3748827206633225"
"41.11777","0.18327937","4.5700707","0.3722833665949983"
"45.7176","0.0188961","4.9144306","0.36969663988399004"
"10.852057","0.06785519","4.589484","0.36954998282189055"
"87.75335","0.06955472","13.004332","0.36831083369550377"
"1.7210909","0.3581623","18.035543","0.3646296636897888"
"77.04953","0.33811635","9.596618","0.3621110216335959"
"28.710392","0.09687493","3.7527504","0.36157734451425316"
"0.40841138","0.030471573","71.69933","0.3593515779370391"
"53.992985","0.12860611","5.4406767","0.3556248321932388"
"23.54441","0.1827776","3.5698643","0.35389274104329416"
"49.79484","0.19922948","4.870033","0.3513702010936893"
"2.4057093","0.43921906","12.434247","0.35087457590716886"
"4.283333","0.058445804","7.342482","0.3471948432868506"
"14.642934","0.11602678","3.7014863","0.3442104546742255"
"30.189087","0.083949566","3.5479748","0.3431916790357906"
"0.7510323","0.05204706","34.36519","0.33764164502705896"
"66.80193","0.14347976","6.6302295","0.335751490150727"
"1.264627","0.21713385","20.0277","0.3337099834807209"
"4.2811975","0.06451948","7.062371","0.33353838553328097"
"1.3025638","0.03618603","18.93926","0.3234550454689412"
"51.973804","0.040644117","4.3687","0.3151453985646122"
"7.336135","0.57665515","4.5489583","0.31497742235370074"
